Bee_Scientific_Name,Bee_Common_Name,Bee_Abstract
Agapostemon  femoratus,wide-legged sweat bee,"Wide-legged sweat bees are medium-sized bees with a shiny metallic green appearance. The males stand out with their greatly enlarged hind legs and yellow and black striped abdomen. Their heads and thoraxes are green, and they have antennae that are yellow and brown. Females of these bees sport a fully metallic green abdomen featuring small bands of white hair. Their thoraxes are characterized by coarse, evenly-sized punctures. These bees nest deep in the ground, often in tightly packed soil. You can find wide-legged sweat bees from March to November across a broad range, stretching from Southern Canada down to Mexico, and from California over to the Rocky Mountains."
Agapostemon texanus,metallic green sweat bee,"The metallic green sweat bee, also known as the Texas striped sweat bee, lives from Southern Canada to Costa Rica, but is most commonly found on the west coast of the United States. These bees have shiny green bodies, with males having yellow and black striped abdomens and females being fully metallic. They build their nests alone in the ground, often on vertical banks or flat surfaces. They prefer dark, hidden spots like under pebbles, leaves, or in cracks and pre-existing holes. You can find them from March to October. They carry pollen on their hind legs and visit many different types of flowers."
Agapostemon virescens,bicolored striped sweat bee,"Bicolored striped sweat bees have shiny green heads and thoraxes. Female bees have black-and-white striped abdomens, while males have black-and-yellow striped abdomens. These are solitary bees who make their nests underground. Sometimes, up to 30 female bees may share a nest, but each bee takes care of her own young. These bees have short tongues and are often found on flowers with short tubes, especially from the Asteraceae family. They are active from April to October.
"
Andrena angustitarsata,narrow-legged miner bee,"Narrow-legged miner bees are medium-sized and slim. They have dark brown or black bodies with long, light-colored hair on their faces and upper bodies. They have pale white bands of hair on their abdomen and white hairs on their legs. These bees build their nests in the ground, stay there through the winter as adults, and come out in the spring. You can find them from March to early May in the western parts of the United States and Canada."
Andrena cerasifolii,cherry plum mining bee,"Cherry plum mining bees are medium-sized, shiny blue-black bees. They have long, thick hairs on their faces and thoraxes. Their thorax and abdomen shine with metallic blue-green to blue-black colors, and they have thin white bands of hair along their abdomen. Males have long antennae. These bees usually have two generations each year, so you can see them from January to March and again from May to June. They nest in the ground and are found west of the Rocky Mountains."
Andrena crataegi ,Hawthorn mining bee,"The Hawthorn mining bee is a medium-sized, striking black bee with minimal amber hairs on its thorax and the tip of its abdomen. These bees nest in the ground and can be seen in urban, suburban, orchard, and forest areas. They are communal nesters, with many females sharing the same nest entrance or tunnels, but having separate cells inside. These bees are present from May to July and can be found throughout the United States. They are common in late spring and feed on a variety of flowering plants."
Andrena lupinorum,lupine miner bee,"Lupine miner bees have a striking appearance with black and blonde coloring. Most of their face is black, except for orange hair between their eyes. Their thorax has orange-blonde hairs, while their hind legs have dark black hairs called scopa that are used to collect pollen. Their entire abdomen is covered in black hairs. These bees nest in the ground and can be seen from May through August in higher-elevation areas across the western United States."
Andrena nigrocaerulea,blue-and-black mining bee,"The blue-and-black mining bee has dark body hairs and looks metallic blue-black. These bees are solitary and build their nests in the soil, usually on flat, bare ground. You can find them from February to June."
Andrena pallidifovea,pale-faced miner,"Pale-faced miner bees are medium-sized, black bees. They have white to pale ochre hairs on their face and thorax. Female bees have lots of hairs on their hind legs called scopa, which they use to collect pollen. Their shiny abdomens have stripes of yellow hair. These bees build their nests in the ground and are commonly found in Central America and North America. "
Andrena perplexa,perplexed miner bee,"Perplexed miner bees are medium-sized, shiny black bees. They have red to ochre-colored hairs on their faces and upper bodies. Female bees have pale hairs on their hind legs for collecting pollen. These bees are solitary and build their nests in the ground. You can find them throughout the Pacific Northwest."
Andrena prunorum,prunus miner bee,"Prunus miner bees are red-orange bees with smoky wings and fuzzy hair on their face and thorax. They have sparse orange-red hairs on their black heads and thoraxes. Their abdomens are striped with bands of red and black, accented with light hair. The females build their nests in the ground, hiding the burrows among plants. Each female bee works alone to build her nest and lay 8-10 eggs. These bees are active from April to July and can be found across the western United States."
Andrena sigmundi,Sigmund’s mining bee,"Sigmund’s mining bee is a medium-sized bee that is mostly dark brown or black with some reddish-brown on its body. It has yellow hairs on its head, thorax, and lower abdomen. This bee lives alone and nests in the soil. You can usually find it early in the growing season, before July. It mainly collects pollen from willows."
Andrena vicina,neighborly mining bee,Neighborly mining bees are medium-sized black bees with ochre-colored hair on their heads and upper bodies. Their abdomens and legs are shiny black-brown. These bees build their nests in the ground and are often found in woodlands and orchards. They are common from March to August in southern Canada and the northern United States.
Anthidiellum robertsoni,California rotund-resin bee,"California rotund-resin bees are small but robust black-and-yellow bees. They are easy to spot because they hover around plants before landing. While flying, they keep their legs tucked into their bodies, which makes them look more compact than other insects. These bees have a black head with a yellow face, yellow legs with black spots, and a black body with yellow patterning. Their nests, which are made of shiny resin, are smooth and usually have one or two cells. You can find these nests on branches, rocks, or leaves. Male bees are territorial and can often be seen flying around to protect their area. They are abundant throughout the summer months."
Anthidium utahense,wool carder bee,"Wool carder bees are medium-sized bees that are dark brown to black with yellow markings. They have black heads with yellow faces, black upper bodies, and white hairs on their heads and upper bodies. Their black abdomens have big yellow bands. These bees are known for being quite noisy. They make their nests in holes or cracks in the ground, with each nest having one to four cells made with plant hairs from Cirsium and Artemisia. You can find these bees west of the Rocky Mountains from May to July in pine-oak forests, deserts, woodlands, and grasslands."
Anthophora bomboides,bumble bee-like digger bee,"Bumble bee-like digger bees come in different color patterns depending on where they are found. They have yellow hair on their faces and a central black spot surrounded by yellow hair on their upper bodies. Their wings look cloudy, and they have black hairs on their hind legs called scopa, which they use to collect and carry pollen. Their abdomens have bands of long hair in orange, yellow, and black. These bees are social and nest in the ground, often in vertical banks. There are multiple records of several hundred bees nesting within a square meter of each other. They are found across the United States from April to July."
Anthophora pacifica,Pacific digger bee,"Pacific digger bees are large fuzzy bees that are entirely black. Male bees display a blend of black and white hairs on their abdomen, whereas females have an all-black abdomen with upward-pointing hairs. Females feature white scopal hairs on their hind legs, used for gathering pollen, creating a striking contrast against their otherwise black bodies. These ground-nesting bees are commonly spotted along the west coast and are active from April through June."
Anthophora terminalis,orange-tipped wood-digger ,"Orange-tipped wood-digger bees are large and fast-flying with dark bodies. Males have yellow faces and gray hairs, while females have faces covered in gray hairs. Their upper bodies have light straw-colored hair mixed with black hair, and their abdomens have small bands of short white hair. Females have bright orange hairs at the tips of their abdomens, which are visible when they are flying or foraging. Unlike other Anthophora species that nest in the ground, these bees nest in holes they dig in beetle burrows, rotting logs, and plant stems. You can find them across the United States from early June to September."
Anthophora urbana,urban digger bee,"The urban digger bee is a solitary species that builds its nests underground in sand or soil. These bees are robust and move swiftly with a distinct buzzing sound. They have bluish eyes and females have a dense cluster of white hairs on their hind legs to transport pollen. Their abdomens are mainly black with thick white hairs arranged in stripes. The thorax is covered in white to gray hair with some black mixed in, and their faces have white hairs. These bees excel at buzz pollination, and their large hairy bodies can carry more pollen compared to many other bees. Urban digger bees inhabit diverse habitats such as forests, deserts, meadows, and alfalfa fields, and they are active from late May through July. "
Bombus appositus,white-shouldered bumble bee,"White-shouldered bumble bees are big bees with a striking white face and upper thorax, along with a black band across their wings and a golden yellow abdomen. They prefer living in open areas like meadows and slopes. These bees build their nests on the ground, either underground or sometimes right on the surface. You can find white-shouldered bumble bees from southwestern Canada down to the Sierra Nevada Mountains, and westward to central California. They play an important role in pollinating subalpine larkspur flowers."
Bombus caliginosus,fog-belt bumble bee,"The fog-belt bumble bee, also known as the obscure bumble bee, has a long tongue and short, uneven black and yellow hair covering its body. Its hind legs have fringed hair that forms pollen baskets. This bee has yellow hair on its face, a thorax that is black with yellow hairs near the top, and a yellow stripe at the end of its black abdomen. These bees are active throughout the year, from January to October. They nest underground and above ground, commonly in grassy coastal prairies and Coast Range meadows. Fog-belt bumble bees can be found from Washington to Southern California."
Bombus centralis,Great Basin bumble bee,"Great Basin bumble bees are medium-sized bumble bees with long faces and tongues. They are covered in long hair and have light brown wings. They have a black face with yellow hair, and their thorax is striped yellow and black. Their abdomens have bands of yellow, orange-red, and black. These bees live in prairies and river valleys. In late March, the queens wake up from hibernation and start building nests in old rodent burrows. Worker bees appear from April to August. By September, most of the colony dies, leaving only the new queens to survive. These bumble bees can be found from British Columbia to California."
Bombus fervidus,golden northern bumble bee,"The golden northern bumble bee has a black face, a yellow abdomen and thorax, and a black band at the base of its wings. Its wings are dark grey-black, and its body hairs are thick. This bee has a long tongue that helps it gather nectar and pollen from flowers with long tubes. Workers typically look for food in the afternoon. You can find these bees in grasslands, farmland, suburban areas, and cities throughout North America. They usually build their nests underground in grassy areas, but sometimes they nest above ground. Queens appear in April and May, workers fly from June to August, and males are common from July to September."
Bombus flavifrons,yellow-fronted bumble bee,"Yellow-fronted bumble bees are medium-sized bees with medium-length hair. They have long heads covered in yellow or a mix of yellow and black hairs. Males have long antennae. Female bees have a thorax with an even mix of black and yellow hairs, while males have a completely lemon-yellow thorax. Their abdomen has stripes of yellow and black hair. These bees build their nests in the ground, often in open grassy prairies and meadows or forested areas. They are found across western North America, from Alaska to California’s central coast and east to the Rocky Mountains. Queens appear in May, workers are most common in July, and their numbers decrease in September."
