family,genus
Megachilidae,Anthidiellum
Megachilidae,Anthidium
Megachilidae,Ashmeadiella
Megachilidae,Atoposmia
Megachilidae,Chelostoma
Megachilidae,Coelioxys
Megachilidae,Dianthidium
Megachilidae,Dioxys
Megachilidae,Heriades
Megachilidae,Hoplitis
Megachilidae,Megachile
Megachilidae,Osmia
Megachilidae,Protosmia
Megachilidae,Pseudoanthidium
Megachilidae,Stelis
Megachilidae,Trachusa
Halictidae,Agapostemon
Halictidae,Dufourea
Halictidae,Halictus
Halictidae,Lasioglossum
Halictidae,Micralictoides
Halictidae,Nomia
Halictidae,Sphecodes
Colletidae,Colletes
Colletidae,Hylaeus
Apidae,Anthophora
Apidae,Anthophorula
Apidae,Apis
Apidae,Biastes
Apidae,Bombus
Apidae,Brachymelecta
Apidae,Ceratina
Apidae,Diadasia
Apidae,Epeolus
Apidae,Eucera
Apidae,Habropoda
Apidae,Melecta
Apidae,Melissodes
Apidae,Neolarra
Apidae,Neopasites
Apidae,Nomada
Apidae,Oreopasites
Apidae,Peponapis
Apidae,Svastra
Apidae,Triepeolus
Apidae,Xeromelecta
Apidae,Xenoglossodes
Apidae,Xylocopa
Apidae,Zacosmia
Andrenidae,Andrena
Andrenidae,Calliopsis
Andrenidae,Panurginus
Andrenidae,Perdita
Andrenidae,Pseudopanurgus
